aifstime_utc[80],apparent_t,cloud_base_m,cloud_oktas,delta_t,gust_kmh,gust_kt,air_temp,dewpt,press,press_msl,press_qnh,rain_trace[80],rel_hum,vis_km[80],wind_spd_kmh,wind_spd_kt
20260218233000,14.4,480,5,2.9,24,13,16.8,11.5,1016.5,1016.5,1017.8,0.0,71,10,15,8
20260218230000,13.6,420,5,2.2,20,11,15.9,11.9,1016.5,1016.5,1017.8,0.0,77,10,15,8
20260218223000,12.2,300,8,1.8,24,13,14.9,11.7,1016.3,1016.3,1017.6,0.0,81,10,17,9
20260218220000,12.1,200,6,0.9,17,9,13.6,12.0,1016.1,1016.1,1017.4,0.0,90,10,11,6
20260218213000,11.5,180,5,0.6,15,8,12.7,11.6,1016.0,1016.0,1017.3,0.0,93,10,9,5
20260218210000,10.5,180,8,0.5,17,9,12.2,11.3,1015.7,1015.7,1017.1,0.0,94,10,11,6
20260218203000,9.9,150,8,0.5,17,9,12.0,11.1,1015.3,1015.3,1016.7,0.0,94,10,13,7
20260218200000,10.6,180,8,0.5,15,8,11.7,10.8,1014.8,1014.8,1016.2,0.0,94,10,7,4
20260218193500,8.5,240,5,0.5,7,4,9.9,9.0,1014.4,1014.4,1015.8,0.0,94,10,6,3
20260218193000,8.1,240,3,0.5,7,4,9.7,8.8,1014.3,1014.3,1015.7,0.0,94,10,7,4
20260218190000,8.4,0,0,0.4,0,0,8.9,8.0,1013.8,1013.8,1015.2,0.0,94,10,0,0
20260218183000,8.4,0,0,0.5,0,0,8.9,7.8,1013.5,1013.5,1014.9,0.0,93,10,0,0
20260218180000,9.3,0,0,0.5,0,0,9.6,8.5,1013.3,1013.3,1014.7,0.0,93,10,0,0
20260218173000,9.4,0,0,0.6,0,0,9.7,8.6,1013.1,1013.1,1014.5,0.0,93,10,0,0
20260218170000,9.5,0,0,0.8,0,0,9.9,8.3,1013.0,1013.0,1014.4,0.0,90,10,0,0
20260218163000,10.8,0,0,0.8,0,0,10.9,9.3,1013.0,1013.0,1014.4,0.0,90,10,0,0
20260218160000,10.4,0,0,1.1,7,4,11.6,9.5,1012.7,1012.7,1014.1,0.0,87,10,6,3
20260218153000,11.5,0,0,1.2,7,4,12.5,10.2,1012.7,1012.7,1014.1,0.0,86,10,6,3
20260218150000,11.8,0,0,1.4,11,6,13.3,10.7,1012.8,1012.8,1014.2,0.0,84,10,9,5
20260218143000,11.7,0,0,1.6,9,5,13.0,10.0,1012.6,1012.6,1014.0,0.0,82,10,7,4
20260218140000,11.5,0,0,1.6,9,5,12.8,9.8,1012.5,1012.5,1013.9,0.0,82,10,7,4
20260218133000,11.6,0,0,2.0,11,6,13.4,9.6,1012.5,1012.5,1013.9,0.0,78,10,9,5
20260218130000,11.3,0,0,2.3,15,8,13.9,9.5,1012.5,1012.5,1013.9,0.0,75,10,13,7
20260218123000,12.4,0,0,2.8,13,7,14.3,8.9,1012.6,1012.6,1014.0,0.0,70,10,9,5
20260218120000,13.0,0,0,3.0,11,6,14.9,9.1,1012.5,1012.5,1013.9,0.0,68,10,9,5
20260218113000,13.2,0,0,3.8,19,10,16.0,8.7,1012.5,1012.5,1013.9,0.0,62,10,13,7
20260218110000,14.8,0,0,4.5,11,6,16.9,8.3,1012.3,1012.3,1013.7,0.0,57,10,9,5
20260218103000,15.2,0,0,4.7,11,6,17.3,8.4,1011.8,1011.8,1013.3,0.0,56,10,9,5
20260218100000,15.7,0,0,5.1,13,7,17.8,8.1,1011.4,1011.4,1012.8,0.0,53,10,9,5
20260218093000,16.3,0,0,5.6,15,8,18.8,8.2,1011.0,1011.0,1012.4,0.0,50,10,11,6
20260218090000,16.7,0,0,6.5,22,12,20.1,7.8,1010.6,1010.6,1012.0,0.0,45,10,15,8
20260218083000,17.4,0,0,7.3,24,13,21.2,7.4,1010.2,1010.2,1011.6,0.0,41,10,17,9
20260218080000,17.4,0,0,7.7,26,14,21.8,7.2,1009.9,1009.9,1011.3,0.0,39,10,20,11
20260218073000,18.0,0,0,7.8,33,18,22.3,7.7,1009.7,1009.7,1011.2,0.0,39,10,20,11
20260218070000,17.2,0,0,7.7,30,16,22.0,7.4,1009.5,1009.5,1011.0,0.0,39,10,22,12
20260218063000,17.8,0,0,7.9,32,17,22.2,7.2,1009.3,1009.3,1010.7,0.0,38,10,20,11
20260218060000,16.6,0,0,7.7,37,20,21.8,7.2,1009.3,1009.3,1010.7,0.0,39,10,24,13
20260218053000,17.7,0,0,7.6,32,17,22.3,8.1,1009.0,1009.0,1010.4,0.0,40,10,22,12
20260218050000,17.8,0,0,7.5,28,15,21.6,7.4,1009.0,1009.0,1010.4,0.0,40,10,17,9
20260218043000,16.5,0,0,7.2,35,19,21.5,8.1,1009.2,1009.2,1010.6,0.0,42,10,24,13
20260218040000,16.9,0,0,6.8,32,17,20.9,8.2,1009.3,1009.3,1010.7,0.0,44,10,19,10
20260218033000,15.5,0,0,5.9,35,19,20.2,9.2,1009.6,1009.6,1011.1,0.0,49,10,24,13
20260218030000,14.7,1200,1,5.7,33,18,19.2,8.5,1009.5,1009.5,1011.0,0.0,50,10,22,12
20260218023000,14.8,1140,5,5.2,35,19,18.8,9.0,1009.7,1009.7,1011.2,0.0,53,10,20,11
20260218020000,13.7,1080,5,4.7,33,18,17.6,8.7,1010.0,1010.0,1011.4,0.0,56,10,19,10
20260218013000,12.1,1020,8,4.2,30,16,16.6,8.6,1010.5,1010.5,1011.9,0.0,59,10,22,12
20260218010000,12.8,600,8,4.5,32,17,17.0,8.4,1010.6,1010.6,1012.0,0.0,57,10,20,11
